Itertions,Alpha,Beta,Customers, q0,Best Solution
10,0.1,1,25,0.1,1475
10,0.1,1,25,0.2,1468
10,0.1,1,25,0.5,1441
10,0.1,1,25,0.8,1444
10,0.1,1,25,0.9,1454
20,0.1,1,25,0.1,1458
20,0.1,1,25,0.2,1474
20,0.1,1,25,0.5,1435
20,0.1,1,25,0.8,1440
20,0.1,1,25,0.9,1457
50,0.1,1,25,0.1,1438
50,0.1,1,25,0.2,1450
50,0.1,1,25,0.5,1432
50,0.1,1,25,0.8,1443
50,0.1,1,25,0.9,1452
100,0.1,1,25,0.1,1446
100,0.1,1,25,0.2,1435
100,0.1,1,25,0.5,1429
100,0.1,1,25,0.8,1439
100,0.1,1,25,0.9,1456
10,0.1,0.5,25,0.1,1514
10,0.1,0.5,25,0.2,1477
10,0.1,0.5,25,0.5,1453
10,0.1,0.5,25,0.8,1443
10,0.1,0.5,25,0.9,1463
20,0.1,0.5,25,0.1,1491
20,0.1,0.5,25,0.2,1489
20,0.1,0.5,25,0.5,1443
20,0.1,0.5,25,0.8,1454
20,0.1,0.5,25,0.9,1457
50,0.1,0.5,25,0.1,1475
50,0.1,0.5,25,0.2,1466
50,0.1,0.5,25,0.5,1445
50,0.1,0.5,25,0.8,1440
50,0.1,0.5,25,0.9,1450
100,0.1,0.5,25,0.1,1471
100,0.1,0.5,25,0.2,1467
100,0.1,0.5,25,0.5,1436
100,0.1,0.5,25,0.8,1437
100,0.1,0.5,25,0.9,1450
10,0.1,0.1,25,0.1,1532
10,0.1,0.1,25,0.2,1539
10,0.1,0.1,25,0.5,1473
10,0.1,0.1,25,0.8,1459
10,0.1,0.1,25,0.9,1459
20,0.1,0.1,25,0.1,1519
20,0.1,0.1,25,0.2,1529
20,0.1,0.1,25,0.5,1471
20,0.1,0.1,25,0.8,1448
20,0.1,0.1,25,0.9,1460
50,0.1,0.1,25,0.1,1511
50,0.1,0.1,25,0.2,1486
50,0.1,0.1,25,0.5,1457
50,0.1,0.1,25,0.8,1440
50,0.1,0.1,25,0.9,1461
100,0.1,0.1,25,0.1,1528
100,0.1,0.1,25,0.2,1490
100,0.1,0.1,25,0.5,1461
100,0.1,0.1,25,0.8,1443
100,0.1,0.1,25,0.9,1442
10,0.5,1,25,0.1,1467
10,0.5,1,25,0.2,1445
10,0.5,1,25,0.5,1445
10,0.5,1,25,0.8,1445
10,0.5,1,25,0.9,1463
20,0.5,1,25,0.1,1474
20,0.5,1,25,0.2,1453
20,0.5,1,25,0.5,1443
20,0.5,1,25,0.8,1449
20,0.5,1,25,0.9,1454
50,0.5,1,25,0.1,1455
50,0.5,1,25,0.2,1445
50,0.5,1,25,0.5,1433
50,0.5,1,25,0.8,1443
50,0.5,1,25,0.9,1450
100,0.5,1,25,0.1,1456
100,0.5,1,25,0.2,1437
100,0.5,1,25,0.5,1435
100,0.5,1,25,0.8,1444
100,0.5,1,25,0.9,1450
10,0.5,0.5,25,0.1,1528
10,0.5,0.5,25,0.2,1508
10,0.5,0.5,25,0.5,1446
10,0.5,0.5,25,0.8,1471
10,0.5,0.5,25,0.9,1483
20,0.5,0.5,25,0.1,1476
20,0.5,0.5,25,0.2,1487
20,0.5,0.5,25,0.5,1450
20,0.5,0.5,25,0.8,1442
20,0.5,0.5,25,0.9,1454
50,0.5,0.5,25,0.1,1465
50,0.5,0.5,25,0.2,1468
50,0.5,0.5,25,0.5,1437
50,0.5,0.5,25,0.8,1442
50,0.5,0.5,25,0.9,1463
100,0.5,0.5,25,0.1,1472
100,0.5,0.5,25,0.2,1477
100,0.5,0.5,25,0.5,1441
100,0.5,0.5,25,0.8,1446
100,0.5,0.5,25,0.9,1458
10,0.5,0.1,25,0.1,1535
10,0.5,0.1,25,0.2,1513
10,0.5,0.1,25,0.5,1464
10,0.5,0.1,25,0.8,1445
10,0.5,0.1,25,0.9,1447
20,0.5,0.1,25,0.1,1545
20,0.5,0.1,25,0.2,1489
20,0.5,0.1,25,0.5,1465
20,0.5,0.1,25,0.8,1450
20,0.5,0.1,25,0.9,1466
50,0.5,0.1,25,0.1,1498
50,0.5,0.1,25,0.2,1507
50,0.5,0.1,25,0.5,1455
50,0.5,0.1,25,0.8,1444
50,0.5,0.1,25,0.9,1459
100,0.5,0.1,25,0.1,1515
100,0.5,0.1,25,0.2,1483
100,0.5,0.1,25,0.5,1464
100,0.5,0.1,25,0.8,1437
100,0.5,0.1,25,0.9,1456
10,1.0,1,25,0.1,1463
10,1.0,1,25,0.2,1484
10,1.0,1,25,0.5,1449
10,1.0,1,25,0.8,1456
10,1.0,1,25,0.9,1458
20,1.0,1,25,0.1,1444
20,1.0,1,25,0.2,1451
20,1.0,1,25,0.5,1430
20,1.0,1,25,0.8,1443
20,1.0,1,25,0.9,1453
50,1.0,1,25,0.1,1467
50,1.0,1,25,0.2,1452
50,1.0,1,25,0.5,1436
50,1.0,1,25,0.8,1444
50,1.0,1,25,0.9,1449
100,1.0,1,25,0.1,1456
100,1.0,1,25,0.2,1448
100,1.0,1,25,0.5,1434
100,1.0,1,25,0.8,1444
100,1.0,1,25,0.9,1456
10,1.0,0.5,25,0.1,1501
10,1.0,0.5,25,0.2,1493
10,1.0,0.5,25,0.5,1451
10,1.0,0.5,25,0.8,1450
10,1.0,0.5,25,0.9,1461
20,1.0,0.5,25,0.1,1510
20,1.0,0.5,25,0.2,1505
20,1.0,0.5,25,0.5,1456
20,1.0,0.5,25,0.8,1441
20,1.0,0.5,25,0.9,1452
50,1.0,0.5,25,0.1,1469
50,1.0,0.5,25,0.2,1452
50,1.0,0.5,25,0.5,1446
50,1.0,0.5,25,0.8,1434
50,1.0,0.5,25,0.9,1453
100,1.0,0.5,25,0.1,1478
100,1.0,0.5,25,0.2,1463
100,1.0,0.5,25,0.5,1433
100,1.0,0.5,25,0.8,1441
100,1.0,0.5,25,0.9,1450
10,1.0,0.1,25,0.1,1495
10,1.0,0.1,25,0.2,1545
10,1.0,0.1,25,0.5,1475
10,1.0,0.1,25,0.8,1453
10,1.0,0.1,25,0.9,1463
20,1.0,0.1,25,0.1,1516
20,1.0,0.1,25,0.2,1493
20,1.0,0.1,25,0.5,1475
20,1.0,0.1,25,0.8,1446
20,1.0,0.1,25,0.9,1462
50,1.0,0.1,25,0.1,1524
50,1.0,0.1,25,0.2,1510
50,1.0,0.1,25,0.5,1454
50,1.0,0.1,25,0.8,1447
50,1.0,0.1,25,0.9,1447
100,1.0,0.1,25,0.1,1504
100,1.0,0.1,25,0.2,1471
100,1.0,0.1,25,0.5,1449
100,1.0,0.1,25,0.8,1443
100,1.0,0.1,25,0.9,1449